date,price_MOEX,volume_MOEX,log_return_MOEX,volatility_MOEX
2020-12-04,157.5,19,-0.0022831060145687434,0.016485823543576528
2020-12-07,157.51,4970280,-0.0005712291101346542,0.016076105583731633
2020-12-08,159.0,8031100,0.012467332323369015,0.015751095986481875
2020-12-09,164.34,39,0.04977641157828768,0.019125803686470478
2020-12-10,164.0,38,0.00875774957806589,0.018703238061691038
2020-12-11,167.36,41,0.015900118157024187,0.016978452677887623
2020-12-14,164.34,62,-0.02029884484049462,0.017634780301559627
2020-12-15,162.93,34,-0.00042954009189866593,0.017269961654683936
2020-12-16,164.35,12,-0.006066139317573426,0.015314896240041537
2020-12-17,163.21,14837390,-0.0026311778985931796,0.01489689888558773
2020-12-18,161.51,47,-0.00869222252979006,0.014867922285373569
2020-12-21,158.72,28,-0.012148687209103797,0.015622090422910935
2020-12-22,162.91,46,0.02820069229581158,0.01609606475242838
2020-12-23,162.5,12,0.008218293235165514,0.011685957050429092
2020-12-24,160.48,13,-0.010599163285972825,0.011654629689277708
2020-12-25,160.19,2031320,-0.0047331470314250215,0.010962442555953333
2020-12-28,158.09,11,-0.021340651554614832,0.011202596164357863
2020-12-29,160.41,41,0.007383339760415273,0.010939587761703552
2020-12-30,160.39,15,0.004499163997676599,0.01096831831978997
2021-01-04,159.24,17,-6.279632015617411e-05,0.011051546968286165
2021-01-05,161.57,26,0.016034283068507637,0.011356370317850462
2021-01-06,160.91,8165100,-0.0028546624822020764,0.010537506881487815
2021-01-08,160.33,12664410,-0.014858194471776855,0.009329570350410156
2021-01-11,161.56,32,0.009640277414428942,0.009115958536319947
2021-01-12,159.23,43,-0.001631526466328122,0.009263688694854506
2021-01-13,160.38,5,0.011791406061547247,0.009631874052240834
2021-01-14,159.0,7,-0.0031397200046677527,0.008206171893620775
2021-01-15,160.4,6,0.003998006324854393,0.007992471869873093
2021-01-18,161.56,21,0.010327970855303523,0.008226603840980918
2021-01-19,166.32,17,0.03774032798284711,0.011794472449823666
2021-01-20,164.22,12717530,-0.016127920474668794,0.012001991074737888
2021-01-21,159.57,13345300,-0.0269568100160291,0.0135078047177055
2021-01-22,159.23,22,-0.007196301510547915,0.01297373956733454
2021-01-25,162.74,24,0.025390287394654303,0.014064443873242993
2021-01-26,163.92,20,0.0068560503622041614,0.013759334318743828
2021-01-27,161.56,35,-0.008198535674301427,0.013732997815021132
2021-01-28,162.73,11,0.013736139747396615,0.014049119419841388
2021-01-29,157.5,22,-0.01893078765943856,0.014989033300545258
2021-02-01,157.28,9134070,-0.002159416526647108,0.01475801519133448
2021-02-02,159.24,40,0.007311264132558787,0.011829320029953856
2021-02-03,159.23,38,0.001508390707716833,0.011329192075393827
2021-02-04,159.23,41,0.0021375589680590317,0.009639248504464432
2021-02-05,159.23,8,0.0037122136567940924,0.009502774901031857
2021-02-08,161.57,20,0.021078429955185718,0.009008876691604866
2021-02-09,164.09,13512700,0.017025087781891744,0.009705388830743266
2021-02-10,160.76,8177760,-0.026638781345081932,0.011306376242108751
2021-02-11,161.99,8,0.0025961196433074716,0.010833295102245462
2021-02-12,162.74,38,0.01629275625454791,0.010341524790962774
2021-02-15,164.99,10,0.01041834750176366,0.010476314063513353
2021-02-16,163.93,13,-0.008261999490896947,0.01063772403397718
2021-02-17,164.98,7,0.012810521070427712,0.011073735104452483
2021-02-18,161.56,41,-0.018033979510214425,0.011935949475133784
2021-02-19,165.55,14414750,0.027993130327667686,0.013398073362265764
2021-02-20,163.94,12,-0.014413136324872858,0.013015506043877308
2021-02-22,168.73,10,0.0190265402169907,0.013289595688858144
2021-02-24,171.05,28,0.009102984603108741,0.011603945218050225
2021-02-25,186.99,23,0.0761463562361885,0.02007221929353572
2021-02-26,188.99,22,0.0907173249576186,0.03387844382782664
2021-03-01,169.91,3,-0.019813013363616554,0.04016864938534294
2021-03-02,174.33,14258260,-0.01886526771191212,0.04153603617472927
2021-03-03,171.0,39,-0.01739174271186922,0.04167873438862719
2021-03-04,169.17,24,-0.008534734993348317,0.04149038834617
2021-03-05,167.69,34,-0.011089809725418205,0.041126895608360796
2021-03-09,168.83,44,0.008326938020650309,0.04100355413206116
2021-03-10,169.22,14,0.004382595110689417,0.04075169272547175
2021-03-11,168.87,19,-0.0009470258180414845,0.04068108745205541
2021-03-12,167.87,8249390,-0.006768014435813939,0.03623824337644733
2021-03-15,167.5,38,-0.08192383047825742,0.034964925072698744
2021-03-16,166.24,5,-0.009936036732577837,0.029148685236588475
2021-03-17,179.99,19,0.07874717891667682,0.032425967403773855
2021-03-18,174.48,12,0.042679231643818955,0.03767289979310424
2021-03-19,166.98,10,-0.004600731085936772,0.03870818657893355
